"Local authority","Library name","Count date","Type","Book","Items"
"Barnet","Barnet Book Club","2019-10-07","Adult fiction","Yes","2"
"Barnet","Barnet Book Club","2019-10-07","Barnet Book Club","Yes","2261"
"Barnet","Barnet Book Club","2019-10-07","Teenage fiction","Yes","1"
"Barnet","Bibliographic Services","2019-10-07","Adult audiobook","No","15"
"Barnet","Bibliographic Services","2019-10-07","Adult fiction","Yes","48"
"Barnet","Bibliographic Services","2019-10-07","Adult non fiction","Yes","193"
"Barnet","Bibliographic Services","2019-10-07","Adult reference","Yes","19"
"Barnet","Bibliographic Services","2019-10-07","Barnet Book Club","Yes","15"
"Barnet","Bibliographic Services","2019-10-07","Children's fiction","Yes","43"
"Barnet","Bibliographic Services","2019-10-07","Children's non fiction","Yes","40"
"Barnet","Bibliographic Services","2019-10-07","Children's reference","Yes","5"
"Barnet","Bibliographic Services","2019-10-07","Compact disc","No","8"
"Barnet","Bibliographic Services","2019-10-07","DVD certificate 12","No","6"
"Barnet","Bibliographic Services","2019-10-07","DVD certificate 15","No","15"
"Barnet","Bibliographic Services","2019-10-07","DVD certificate 18+","No","4"
"Barnet","Bibliographic Services","2019-10-07","DVD certificate exempt","No","3"
"Barnet","Bibliographic Services","2019-10-07","DVD certificate PG","No","6"
"Barnet","Bibliographic Services","2019-10-07","DVD certificate U","No","21"
"Barnet","Bibliographic Services","2019-10-07","Interlending book","Yes","8"
"Barnet","Bibliographic Services","2019-10-07","Large print adult fiction","Yes","18"
"Barnet","Bibliographic Services","2019-10-07","Large print adult non fiction","Yes","5"
"Barnet","Bibliographic Services","2019-10-07","Music score","Yes","1"
"Barnet","Bibliographic Services","2019-10-07","Playset","Yes","1"
"Barnet","Bibliographic Services","2019-10-07","SLS Fiction","Yes","1"
"Barnet","Bibliographic Services","2019-10-07","Teenage fiction","Yes","19"
"Barnet","Bibliographic Services","2019-10-07","Teenage non fiction","Yes","9"
"Barnet","Bibliographic Services","2019-10-07","Vocal score sets","Yes","1"
"Barnet","Burnt Oak","2019-10-07","Adult audiobook","No","208"
"Barnet","Burnt Oak","2019-10-07","Adult fiction","Yes","2772"
"Barnet","Burnt Oak","2019-10-07","Adult non fiction","Yes","2953"
"Barnet","Burnt Oak","2019-10-07","Adult reference","Yes","376"
"Barnet","Burnt Oak","2019-10-07","Barnet Book Club","Yes","8"
"Barnet","Burnt Oak","2019-10-07","Children's audiobook","No","2"
"Barnet","Burnt Oak","2019-10-07","Children's fiction","Yes","4148"
"Barnet","Burnt Oak","2019-10-07","Children's non fiction","Yes","1140"
"Barnet","Burnt Oak","2019-10-07","Children's reference","Yes","73"
"Barnet","Burnt Oak","2019-10-07","Compact disc","No","47"
"Barnet","Burnt Oak","2019-10-07","DVD certificate 12","No","148"
"Barnet","Burnt Oak","2019-10-07","DVD certificate 15","No","131"
"Barnet","Burnt Oak","2019-10-07","DVD certificate 18+","No","15"
"Barnet","Burnt Oak","2019-10-07","DVD certificate exempt","No","7"
"Barnet","Burnt Oak","2019-10-07","DVD certificate PG","No","51"
"Barnet","Burnt Oak","2019-10-07","DVD certificate U","No","257"
"Barnet","Burnt Oak","2019-10-07","Electronic devices","No","10"
"Barnet","Burnt Oak","2019-10-07","Language learning","Yes","7"
"Barnet","Burnt Oak","2019-10-07","Large print adult fiction","Yes","195"
"Barnet","Burnt Oak","2019-10-07","Large print adult non fiction","Yes","17"
"Barnet","Burnt Oak","2019-10-07","Music score","Yes","2"
"Barnet","Burnt Oak","2019-10-07","Periodical","No","1"
"Barnet","Burnt Oak","2019-10-07","SLS Non Fiction","Yes","1"
"Barnet","Burnt Oak","2019-10-07","Teenage fiction","Yes","653"
"Barnet","Burnt Oak","2019-10-07","Teenage non fiction","Yes","292"
"Barnet","Childs Hill","2019-10-07","Adult audiobook","No","297"
"Barnet","Childs Hill","2019-10-07","Adult fiction","Yes","2588"
"Barnet","Childs Hill","2019-10-07","Adult non fiction","Yes","2168"
"Barnet","Childs Hill","2019-10-07","Adult reference","Yes","252"
"Barnet","Childs Hill","2019-10-07","Barnet Book Club","Yes","2"
"Barnet","Childs Hill","2019-10-07","Children's audiobook","No","6"
"Barnet","Childs Hill","2019-10-07","Children's fiction","Yes","4257"
"Barnet","Childs Hill","2019-10-07","Children's non fiction","Yes","691"
"Barnet","Childs Hill","2019-10-07","Children's reference","Yes","40"
"Barnet","Childs Hill","2019-10-07","Compact disc","No","61"
"Barnet","Childs Hill","2019-10-07","DVD certificate 12","No","92"
"Barnet","Childs Hill","2019-10-07","DVD certificate 15","No","66"
"Barnet","Childs Hill","2019-10-07","DVD certificate 18+","No","8"
"Barnet","Childs Hill","2019-10-07","DVD certificate exempt","No","4"
"Barnet","Childs Hill","2019-10-07","DVD certificate PG","No","42"
"Barnet","Childs Hill","2019-10-07","DVD certificate U","No","133"
"Barnet","Childs Hill","2019-10-07","Electronic devices","No","10"
