Local authority,Library name,Date,Type,Outcome,Attendees
Barnet,Burnt Oak,2018-01-12,Toddler Read and Rhyme,Stronger more resilient communities,11
Barnet,Burnt Oak,2018-01-17,Reading Group Adult,Stronger more resilient communities,8
Barnet,Burnt Oak,2018-01-24,Reading Group Adult,Stronger more resilient communities,11
Barnet,Burnt Oak,2018-01-31,Toddler Read and Rhyme,Stronger more resilient communities,10
Barnet,Burnt Oak,2018-02-07,Reading Group Adult,Stronger more resilient communities,10
Barnet,Burnt Oak,2018-02-13,Toddler Read and Rhyme,Stronger more resilient communities,17
Barnet,Burnt Oak,2018-02-19,Reading Group Adult,Stronger more resilient communities,8
Barnet,Burnt Oak,2018-02-21,Reading Group Adult,Stronger more resilient communities,8
Barnet,Burnt Oak,2018-02-23,Toddler Read and Rhyme,Stronger more resilient communities,19
Barnet,Burnt Oak,2018-03-05,Toddler Read and Rhyme,Stronger more resilient communities,9
Barnet,Burnt Oak,2018-03-07,Reading Group Adult,Stronger more resilient communities,8
Barnet,Burnt Oak,2018-03-07,Toddler Read and Rhyme,Stronger more resilient communities,14
Barnet,Burnt Oak,2018-03-14,Reading Group Adult,Stronger more resilient communities,8
Barnet,Burnt Oak,2018-03-16,Toddler Read and Rhyme,Stronger more resilient communities,16
Barnet,Burnt Oak,2018-03-23,Toddler Read and Rhyme,Stronger more resilient communities,18
Barnet,Burnt Oak,2018-03-28,Reading Group Adult,Stronger more resilient communities,8
Barnet,Burnt Oak,2018-04-10,Reading Group Adult,Stronger more resilient communities,7
Barnet,Burnt Oak,2018-04-16,Conversation Café/Language Session,Stronger more resilient communities,2
Barnet,Burnt Oak,2018-04-17,Reading Group Adult,Stronger more resilient communities,8
Barnet,Burnt Oak,2018-04-18,Toddler Read and Rhyme,Stronger more resilient communities,20
Barnet,Burnt Oak,2018-04-20,Class Visits Primary,Stronger more resilient communities,31
Barnet,Burnt Oak,2018-04-23,Conversation Café/Language Session,Stronger more resilient communities,3
Barnet,Burnt Oak,2018-04-24,Reading Group Adult,Stronger more resilient communities,8
Barnet,Burnt Oak,2018-04-25,Toddler Read and Rhyme,Stronger more resilient communities,11
Barnet,Burnt Oak,2018-04-30,Conversation Café/Language Session,Stronger more resilient communities,2
Barnet,Burnt Oak,2018-05-01,Reading Group Adult,Stronger more resilient communities,5
Barnet,Burnt Oak,2018-05-02,Toddler Read and Rhyme,Stronger more resilient communities,12
Barnet,Burnt Oak,2018-05-04,Class Visits Primary,Stronger more resilient communities,31
Barnet,Burnt Oak,2018-05-08,Reading Group Adult,Stronger more resilient communities,10
Barnet,Burnt Oak,2018-05-09,Toddler Read and Rhyme,Stronger more resilient communities,16
Barnet,Burnt Oak,2018-05-11,Class Visits Primary,Stronger more resilient communities,32
Barnet,Burnt Oak,2018-05-14,Conversation Café/Language Session,Stronger more resilient communities,3
Barnet,Burnt Oak,2018-05-16,Toddler Read and Rhyme,Stronger more resilient communities,7
Barnet,Burnt Oak,2018-05-21,Conversation Café/Language Session,Stronger more resilient communities,2
Barnet,Burnt Oak,2018-05-22,Reading Group Adult,Stronger more resilient communities,10
Barnet,Burnt Oak,2018-05-23,Toddler Read and Rhyme,Stronger more resilient communities,19
Barnet,Burnt Oak,2018-05-25,Class Visits Primary,Stronger more resilient communities,32
Barnet,Burnt Oak,2018-05-29,Reading Group Adult,Stronger more resilient communities,8
Barnet,Burnt Oak,2018-06-04,Conversation Café/Language Session,Stronger more resilient communities,5
Barnet,Burnt Oak,2018-06-05,Reading Group Adult,Stronger more resilient communities,7
Barnet,Burnt Oak,2018-06-06,Toddler Read and Rhyme,Stronger more resilient communities,20
Barnet,Burnt Oak,2018-06-11,Conversation Café/Language Session,Stronger more resilient communities,5
Barnet,Burnt Oak,2018-06-12,Reading Group Adult,Stronger more resilient communities,8
Barnet,Burnt Oak,2018-06-13,Toddler Read and Rhyme,Stronger more resilient communities,11
Barnet,Burnt Oak,2018-06-15,Class Visits Primary,Stronger more resilient communities,20
Barnet,Burnt Oak,2018-06-18,Conversation Café/Language Session,Stronger more resilient communities,5
Barnet,Burnt Oak,2018-06-19,Reading Group Adult,Stronger more resilient communities,10
Barnet,Burnt Oak,2018-06-20,Toddler Read and Rhyme,Stronger more resilient communities,14
Barnet,Burnt Oak,2018-06-22,Class Visits Primary,Stronger more resilient communities,30
Barnet,Burnt Oak,2018-06-25,Conversation Café/Language Session,Stronger more resilient communities,3
Barnet,Burnt Oak,2018-06-27,Toddler Read and Rhyme,Stronger more resilient communities,19
Barnet,Burnt Oak,2018-07-17,Reading Group Adult,Stronger more resilient communities,10
Barnet,Burnt Oak,2018-07-24,Reading Group Adult,Stronger more resilient communities,8
Barnet,Burnt Oak,2018-07-31,Reading Group Adult,Stronger more resilient communities,10
Barnet,Burnt Oak,2018-08-06,Coffee morning/Afternoon tea,Stronger more resilient communities,8
Barnet,Burnt Oak,2018-08-07,Reading Group Adult,Stronger more resilient communities,8
Barnet,Burnt Oak,2018-08-08,Summer Reading Challenge,Stronger more resilient communities,22
Barnet,Burnt Oak,2018-08-13,Coffee morning/Afternoon tea,Stronger more resilient communities,9
Barnet,Burnt Oak,2018-08-14,Reading Group Adult,Stronger more resilient communities,7
Barnet,Burnt Oak,2018-08-20,Coffee morning/Afternoon tea,Stronger more resilient communities,9
Barnet,Burnt Oak,2018-08-21,Reading Group Adult,Stronger more resilient communities,8
Barnet,Burnt Oak,2018-08-28,Reading Group Adult,Stronger more resilient communities,9
Barnet,Burnt Oak,2018-09-03,Coffee morning/Afternoon tea,Stronger more resilient communities,5
Barnet,Burnt Oak,2018-09-03,Conversation Café/Language Session,Stronger more resilient communities,3
Barnet,Burnt Oak,2018-09-04,Reading Group Adult,Stronger more resilient communities,9
Barnet,Burnt Oak,2018-09-05,Toddler Read and Rhyme,Stronger more resilient communities,16
Barnet,Burnt Oak,2018-09-10,Coffee morning/Afternoon tea,Stronger more resilient communities,8
Barnet,Burnt Oak,2018-09-10,Conversation Café/Language Session,Stronger more resilient communities,5
Barnet,Burnt Oak,2018-09-11,Reading Group Adult,Stronger more resilient communities,8
Barnet,Burnt Oak,2018-09-12,Toddler Read and Rhyme,Stronger more resilient communities,12
Barnet,Burnt Oak,2018-09-17,Coffee morning/Afternoon tea,Stronger more resilient communities,4
Barnet,Burnt Oak,2018-09-17,Conversation Café/Language Session,Stronger more resilient communities,4
Barnet,Burnt Oak,2018-09-18,Reading Group Adult,Stronger more resilient communities,9
Barnet,Burnt Oak,2018-09-19,Toddler Read and Rhyme,Stronger more resilient communities,19
Barnet,Burnt Oak,2018-09-24,Coffee morning/Afternoon tea,Stronger more resilient communities,7
Barnet,Burnt Oak,2018-09-24,Conversation Café/Language Session,Stronger more resilient communities,5
Barnet,Burnt Oak,2018-09-25,Reading Group Adult,Stronger more resilient communities,9
Barnet,Burnt Oak,2018-09-26,Toddler Read and Rhyme,Stronger more resilient communities,23
Barnet,Burnt Oak,2018-10-01,Coffee morning/Afternoon tea,Stronger more resilient communities,9
Barnet,Burnt Oak,2018-10-01,Conversation Café/Language Session,Stronger more resilient communities,5
Barnet,Burnt Oak,2018-10-02,Reading Group Adult,Stronger more resilient communities,11
Barnet,Burnt Oak,2018-10-03,Toddler Read and Rhyme,Stronger more resilient communities,20
Barnet,Burnt Oak,2018-10-08,Coffee morning/Afternoon tea,Stronger more resilient communities,9
Barnet,Burnt Oak,2018-10-08,Conversation Café/Language Session,Stronger more resilient communities,5
Barnet,Burnt Oak,2018-10-09,Reading Group Adult,Stronger more resilient communities,10
Barnet,Burnt Oak,2018-10-09,Toddler Read and Rhyme,Stronger more resilient communities,23
Barnet,Burnt Oak,2018-10-15,Coffee morning/Afternoon tea,Stronger more resilient communities,10
Barnet,Burnt Oak,2018-10-15,Conversation Café/Language Session,Stronger more resilient communities,5
Barnet,Burnt Oak,2018-10-16,Reading Group Adult,Stronger more resilient communities,11
Barnet,Burnt Oak,2018-10-17,Toddler Read and Rhyme,Stronger more resilient communities,20
Barnet,Burnt Oak,2018-10-22,Coffee morning/Afternoon tea,Stronger more resilient communities,11
Barnet,Burnt Oak,2018-10-23,Reading Group Adult,Stronger more resilient communities,11
Barnet,Burnt Oak,2018-10-29,Conversation Café/Language Session,Stronger more resilient communities,4
Barnet,Burnt Oak,2018-10-29,Conversation Café/Language Session,Stronger more resilient communities,10
Barnet,Burnt Oak,2018-10-30,Reading Group Adult,Stronger more resilient communities,12
Barnet,Burnt Oak,2018-10-31,Toddler Read and Rhyme,Stronger more resilient communities,29
Barnet,Burnt Oak,2018-11-05,Coffee morning/Afternoon tea,Stronger more resilient communities,8
Barnet,Burnt Oak,2018-11-05,Conversation Café/Language Session,Stronger more resilient communities,0
Barnet,Burnt Oak,2018-11-06,Reading Group Adult,Stronger more resilient communities,11
Barnet,Burnt Oak,2018-11-07,Toddler Read and Rhyme,Stronger more resilient communities,17
Barnet,Burnt Oak,2018-11-12,Coffee morning/Afternoon tea,Stronger more resilient communities,10
Barnet,Burnt Oak,2018-11-12,Conversation Café/Language Session,Stronger more resilient communities,5
Barnet,Burnt Oak,2018-11-13,Reading Group Adult,Stronger more resilient communities,11
Barnet,Burnt Oak,2018-11-14,Toddler Read and Rhyme,Stronger more resilient communities,30
Barnet,Burnt Oak,2018-11-19,Coffee morning/Afternoon tea,Stronger more resilient communities,8
Barnet,Burnt Oak,2018-11-19,Conversation Café/Language Session,Stronger more resilient communities,1
Barnet,Burnt Oak,2018-11-20,Reading Group Adult,Stronger more resilient communities,9
Barnet,Burnt Oak,2018-11-21,Toddler Read and Rhyme,Stronger more resilient communities,16
Barnet,Burnt Oak,2018-11-26,Coffee morning/Afternoon tea,Stronger more resilient communities,8
Barnet,Burnt Oak,2018-11-26,Conversation Café/Language Session,Stronger more resilient communities,2
Barnet,Burnt Oak,2018-11-27,Reading Group Adult,Stronger more resilient communities,5
Barnet,Burnt Oak,2018-11-28,Toddler Read and Rhyme,Stronger more resilient communities,8
Barnet,Burnt Oak,2018-12-03,Coffee morning/Afternoon tea,Stronger more resilient communities,10
Barnet,Burnt Oak,2018-12-03,Conversation Café/Language Session,Stronger more resilient communities,3
Barnet,Burnt Oak,2018-12-04,Reading Group Adult,Stronger more resilient communities,10
Barnet,Burnt Oak,2018-12-05,Toddler Read and Rhyme,Stronger more resilient communities,16
Barnet,Burnt Oak,2018-12-10,Coffee morning/Afternoon tea,Stronger more resilient communities,8
Barnet,Burnt Oak,2018-12-10,Conversation Café/Language Session,Stronger more resilient communities,4
Barnet,Burnt Oak,2018-12-11,Conversation Café/Language Session,Stronger more resilient communities,4
Barnet,Burnt Oak,2018-12-11,Reading Group Adult,Stronger more resilient communities,7
Barnet,Burnt Oak,2018-12-12,Toddler Read and Rhyme,Stronger more resilient communities,20
Barnet,Burnt Oak,2018-12-17,Coffee morning/Afternoon tea,Stronger more resilient communities,10
Barnet,Burnt Oak,2018-12-17,Conversation Café/Language Session,Stronger more resilient communities,3
Barnet,Burnt Oak,2018-12-17,Reading Group Adult,Stronger more resilient communities,9
Barnet,Burnt Oak,2018-12-18,Reading Group Adult,Stronger more resilient communities,9
Barnet,Burnt Oak,2018-12-19,Toddler Read and Rhyme,Stronger more resilient communities,16
Barnet,Burnt Oak,2019-01-07,Coffee morning/Afternoon tea,Stronger more resilient communities,11
Barnet,Burnt Oak,2019-01-07,Conversation Café/Language Session,Stronger more resilient communities,3
Barnet,Burnt Oak,2019-01-08,Reading Group Adult,Stronger more resilient communities,10
Barnet,Burnt Oak,2019-01-09,IT,Stronger more resilient communities,0
Barnet,Burnt Oak,2019-01-09,Toddler Read and Rhyme,Stronger more resilient communities,15
Barnet,Burnt Oak,2019-01-14,Coffee morning/Afternoon tea,Stronger more resilient communities,12
Barnet,Burnt Oak,2019-01-14,Conversation Café/Language Session,Stronger more resilient communities,3
Barnet,Burnt Oak,2019-01-15,Reading Group Adult,Stronger more resilient communities,11
Barnet,Burnt Oak,2019-01-16,Toddler Read and Rhyme,Stronger more resilient communities,20
Barnet,Burnt Oak,2019-01-21,Coffee morning/Afternoon tea,Stronger more resilient communities,11
Barnet,Burnt Oak,2019-01-21,Conversation Café/Language Session,Stronger more resilient communities,6
Barnet,Burnt Oak,2019-01-22,Reading Group Adult,Stronger more resilient communities,10
Barnet,Burnt Oak,2019-01-23,Toddler Read and Rhyme,Stronger more resilient communities,12
Barnet,Burnt Oak,2019-01-25,Careers/Job Hunting,Stronger more resilient communities,6
Barnet,Burnt Oak,2019-01-28,Coffee morning/Afternoon tea,Stronger more resilient communities,11
Barnet,Burnt Oak,2019-01-28,Conversation Café/Language Session,Stronger more resilient communities,6
Barnet,Burnt Oak,2019-01-29,Reading Group Adult,Stronger more resilient communities,9
Barnet,Burnt Oak,2019-01-30,Toddler Read and Rhyme,Stronger more resilient communities,16
Barnet,Burnt Oak,2019-02-04,Coffee morning/Afternoon tea,Stronger more resilient communities,10
Barnet,Burnt Oak,2019-02-04,Conversation Café/Language Session,Stronger more resilient communities,6
Barnet,Burnt Oak,2019-02-04,Reading Group Adult,Stronger more resilient communities,9
Barnet,Burnt Oak,2019-02-06,Toddler Read and Rhyme,Stronger more resilient communities,24
Barnet,Burnt Oak,2019-02-11,Coffee morning/Afternoon tea,Stronger more resilient communities,10
